dataset,train_classes,val_classes,test_classes,train_class_counts,val_class_counts,test_class_counts,issue
arrhythmia,[ 0  1  2  3  4  5  6  7  8  9 10 11 12],[ 0  1  2  3  4  5  6  8  9 12],[ 0  1  2  3  4  5  8  9 10 11 12],"(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12], dtype=uint8), array([151,  29,  10,   8,   7,  14,   2,   2,   5,  36,   3,   4,  11],
      dtype=int64))","(array([ 0,  1,  2,  3,  4,  5,  6,  8,  9, 12], dtype=uint8), array([28,  4,  2,  4,  3,  5,  1,  2,  2,  6], dtype=int64))","(array([ 0,  1,  2,  3,  4,  5,  8,  9, 10, 11, 12], dtype=uint8), array([66, 11,  3,  3,  3,  6,  2, 12,  1,  1,  5], dtype=int64))",Class with less than 3 instances
arrhythmia,[ 0  1  2  3  4  5  6  7  8  9 10 11 12],[ 0  1  3  4  5  6  8  9 12],[ 0  1  2  3  4  5  8  9 10 11 12],,,,Mismatch in class labels
arrhythmia,[ 0  1  2  3  4  5  6  7  8  9 10 11 12],[ 0  1  3  4  5  6  8  9 12],[ 0  1  2  3  4  5  8  9 10 11 12],"(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12], dtype=uint8), array([144,  26,  12,  10,   9,  15,   2,   2,   6,  31,   3,   4,  10],
      dtype=int64))","(array([ 0,  1,  3,  4,  5,  6,  8,  9, 12], dtype=uint8), array([35,  7,  2,  1,  4,  1,  1,  7,  7], dtype=int64))","(array([ 0,  1,  2,  3,  4,  5,  8,  9, 10, 11, 12], dtype=uint8), array([66, 11,  3,  3,  3,  6,  2, 12,  1,  1,  5], dtype=int64))",Class with less than 3 instances
arrhythmia,[ 0  1  2  3  4  5  6  7  8  9 10 11 12],[ 0  1  2  4  5  6  7  8  9 12],[ 0  1  2  3  4  5  8  9 10 11 12],,,,Mismatch in class labels
arrhythmia,[ 0  1  2  3  4  5  6  7  8  9 10 11 12],[ 0  1  2  4  5  6  7  8  9 12],[ 0  1  2  3  4  5  8  9 10 11 12],"(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12], dtype=uint8), array([145,  23,   8,  12,   9,  18,   1,   1,   6,  30,   3,   4,  12],
      dtype=int64))","(array([ 0,  1,  2,  4,  5,  6,  7,  8,  9, 12], dtype=uint8), array([34, 10,  4,  1,  1,  2,  1,  1,  8,  5], dtype=int64))","(array([ 0,  1,  2,  3,  4,  5,  8,  9, 10, 11, 12], dtype=uint8), array([66, 11,  3,  3,  3,  6,  2, 12,  1,  1,  5], dtype=int64))",Class with less than 3 instances
audiology-std,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17],[ 0  1  3  4  7  8  9 10 11 13 16 17],[ 0  1  3 10 13],,,,Mismatch in class labels
audiology-std,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17],[ 0  1  3  4  7  8  9 10 11 13 16 17],[ 0  1  3 10 13],"(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16,
       17], dtype=uint8), array([31, 16,  2, 11, 34,  2,  4,  3,  1,  1,  3,  2,  2, 14,  4,  2,  7,
        1], dtype=int64))","(array([ 0,  1,  3,  4,  7,  8,  9, 10, 11, 13, 16, 17], dtype=uint8), array([ 5,  1,  3, 11,  1,  1,  1,  1,  1,  4,  1,  1], dtype=int64))","(array([ 0,  1,  3, 10, 13], dtype=uint8), array([11,  4,  4,  4,  2], dtype=int64))",Class with less than 3 instances
audiology-std,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17],[ 0  1  3  4  7 10 11 13 14],[ 0  1  3 10 13],,,,Mismatch in class labels
audiology-std,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17],[ 0  1  3  4  7 10 11 13 14],[ 0  1  3 10 13],"(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16,
       17], dtype=uint8), array([29, 13,  2,  9, 35,  2,  4,  3,  2,  2,  2,  2,  2, 16,  3,  2,  8,
        2], dtype=int64))","(array([ 0,  1,  3,  4,  7, 10, 11, 13, 14], dtype=uint8), array([ 7,  4,  5, 10,  1,  2,  1,  2,  1], dtype=int64))","(array([ 0,  1,  3, 10, 13], dtype=uint8), array([11,  4,  4,  4,  2], dtype=int64))",Class with less than 3 instances
audiology-std,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17],[ 0  1  3  4 11 13],[ 0  1  3 10 13],,,,Mismatch in class labels
audiology-std,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17],[ 0  1  3  4 11 13],[ 0  1  3 10 13],"(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16,
       17], dtype=uint8), array([30, 13,  2, 12, 36,  2,  4,  4,  2,  2,  4,  2,  2, 15,  4,  2,  8,
        2], dtype=int64))","(array([ 0,  1,  3,  4, 11, 13], dtype=uint8), array([6, 4, 2, 9, 1, 3], dtype=int64))","(array([ 0,  1,  3, 10, 13], dtype=uint8), array([11,  4,  4,  4,  2], dtype=int64))",Class with less than 3 instances
audiology-std,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17],[ 0  1  3  4  5  9 11 12 13 14 16],[ 0  1  3 10 13],,,,Mismatch in class labels
audiology-std,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17],[ 0  1  3  4  5  9 11 12 13 14 16],[ 0  1  3 10 13],"(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16,
       17], dtype=uint8), array([28, 14,  2, 11, 39,  1,  4,  4,  2,  1,  4,  1,  1, 15,  3,  2,  7,
        2], dtype=int64))","(array([ 0,  1,  3,  4,  5,  9, 11, 12, 13, 14, 16], dtype=uint8), array([8, 3, 3, 6, 1, 1, 2, 1, 3, 1, 1], dtype=int64))","(array([ 0,  1,  3, 10, 13], dtype=uint8), array([11,  4,  4,  4,  2], dtype=int64))",Class with less than 3 instances
balance-scale,[0 1 2],[0 1 2],[0 1 2],"(array([0, 1, 2], dtype=uint8), array([ 35, 175, 176], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([ 2, 41, 40], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([12, 72, 72], dtype=int64))",Class with less than 3 instances
balloons,[0 1],[0 1],[0 1],"(array([0, 1], dtype=uint8), array([4, 4], dtype=int64))","(array([0, 1], dtype=uint8), array([2, 2], dtype=int64))","(array([0, 1], dtype=uint8), array([3, 1], dtype=int64))",Class with less than 3 instances
balloons,[0 1],[0 1],[0 1],"(array([0, 1], dtype=uint8), array([5, 5], dtype=int64))","(array([0, 1], dtype=uint8), array([1, 1], dtype=int64))","(array([0, 1], dtype=uint8), array([3, 1], dtype=int64))",Class with less than 3 instances
balloons,[0 1],[0],[0 1],,,,Mismatch in class labels
balloons,[0 1],[0],[0 1],"(array([0, 1], dtype=uint8), array([5, 6], dtype=int64))","(array([0], dtype=uint8), array([1], dtype=int64))","(array([0, 1], dtype=uint8), array([3, 1], dtype=int64))",Class with less than 3 instances
balloons,[0 1],[1],[0 1],,,,Mismatch in class labels
balloons,[0 1],[1],[0 1],"(array([0, 1], dtype=uint8), array([6, 5], dtype=int64))","(array([1], dtype=uint8), array([1], dtype=int64))","(array([0, 1], dtype=uint8), array([3, 1], dtype=int64))",Class with less than 3 instances
breast-tissue,[0 1 2 3 4 5],[0 2 3 5],[0 1 2 3 4 5],,,,Mismatch in class labels
breast-tissue,[0 1 2 3 4 5],[0 2 3 5],[0 1 2 3 4 5],"(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([12, 12,  9,  7, 11, 13], dtype=int64))","(array([0, 2, 3, 5], dtype=uint8), array([4, 5, 5, 2], dtype=int64))","(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([5, 3, 4, 4, 3, 7], dtype=int64))",Class with less than 3 instances
breast-tissue,[0 1 2 3 4 5],[0 1 2 3 4 5],[0 1 2 3 4 5],"(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([13, 10, 11,  8,  8, 13], dtype=int64))","(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([3, 2, 3, 4, 3, 2], dtype=int64))","(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([5, 3, 4, 4, 3, 7], dtype=int64))",Class with less than 3 instances
breast-tissue,[0 1 2 3 4 5],[0 1 2 3 4 5],[0 1 2 3 4 5],"(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([12,  9,  7,  7, 10, 13], dtype=int64))","(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([4, 3, 7, 5, 1, 2], dtype=int64))","(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([5, 3, 4, 4, 3, 7], dtype=int64))",Class with less than 3 instances
breast-tissue,[0 1 2 3 4 5],[0 1 2 3 4 5],[0 1 2 3 4 5],"(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([13, 11,  9, 11, 10, 14], dtype=int64))","(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([3, 1, 5, 1, 1, 1], dtype=int64))","(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([5, 3, 4, 4, 3, 7], dtype=int64))",Class with less than 3 instances
dermatology,[0 1 2 3 4 5],[0 1 2 3 4 5],[0 1 2 3 4 5],"(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([67, 33, 40, 34, 29, 14], dtype=int64))","(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([17, 13, 14,  3, 10,  1], dtype=int64))","(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([28, 15, 18, 12, 13,  5], dtype=int64))",Class with less than 3 instances
dermatology,[0 1 2 3 4 5],[0 1 2 3 4 5],[0 1 2 3 4 5],"(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([69, 37, 44, 32, 25, 13], dtype=int64))","(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([15,  9, 10,  5, 14,  2], dtype=int64))","(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([28, 15, 18, 12, 13,  5], dtype=int64))",Class with less than 3 instances
dermatology,[0 1 2 3 4 5],[0 1 2 3 4 5],[0 1 2 3 4 5],"(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([67, 38, 41, 26, 29, 13], dtype=int64))","(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([17,  8, 13, 11, 10,  2], dtype=int64))","(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([28, 15, 18, 12, 13,  5], dtype=int64))",Class with less than 3 instances
dermatology,[0 1 2 3 4 5],[0 1 2 3 4 5],[0 1 2 3 4 5],"(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([74, 39, 40, 29, 28, 13], dtype=int64))","(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([10,  7, 14,  8, 11,  2], dtype=int64))","(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([28, 15, 18, 12, 13,  5], dtype=int64))",Class with less than 3 instances
ecoli,[0 1 2 3 4 5 6 7],[0 1 2 3 4 5 7],[0 1 2 3 4 5],,,,Mismatch in class labels
ecoli,[0 1 2 3 4 5 6 7],[0 1 2 3 4 5 7],[0 1 2 3 4 5],"(array([0, 1, 2, 3, 4, 5, 6, 7], dtype=uint8), array([85, 44, 34, 18, 11,  3,  2,  1], dtype=int64))","(array([0, 1, 2, 3, 4, 5, 7], dtype=uint8), array([20, 14,  5,  9,  4,  1,  1], dtype=int64))","(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([38, 19, 13,  8,  5,  1], dtype=int64))",Class with less than 3 instances
ecoli,[0 1 2 3 4 5 6 7],[0 1 2 3 4 5],[0 1 2 3 4 5],,,,Mismatch in class labels
ecoli,[0 1 2 3 4 5 6 7],[0 1 2 3 4 5],[0 1 2 3 4 5],"(array([0, 1, 2, 3, 4, 5, 6, 7], dtype=uint8), array([79, 43, 32, 23, 11,  3,  2,  2], dtype=int64))","(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([26, 15,  7,  4,  4,  1], dtype=int64))","(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([38, 19, 13,  8,  5,  1], dtype=int64))",Class with less than 3 instances
ecoli,[0 1 2 3 4 5 6 7],[0 1 2 3 4 5 7],[0 1 2 3 4 5],,,,Mismatch in class labels
ecoli,[0 1 2 3 4 5 6 7],[0 1 2 3 4 5 7],[0 1 2 3 4 5],"(array([0, 1, 2, 3, 4, 5, 6, 7], dtype=uint8), array([81, 46, 27, 23, 13,  3,  2,  1], dtype=int64))","(array([0, 1, 2, 3, 4, 5, 7], dtype=uint8), array([24, 12, 12,  4,  2,  1,  1], dtype=int64))","(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([38, 19, 13,  8,  5,  1], dtype=int64))",Class with less than 3 instances
ecoli,[0 1 2 3 4 5 6 7],[0 1 2 3 4 5 6],[0 1 2 3 4 5],,,,Mismatch in class labels
ecoli,[0 1 2 3 4 5 6 7],[0 1 2 3 4 5 6],[0 1 2 3 4 5],"(array([0, 1, 2, 3, 4, 5, 6, 7], dtype=uint8), array([82, 42, 35, 24,  9,  3,  1,  2], dtype=int64))","(array([0, 1, 2, 3, 4, 5, 6], dtype=uint8), array([23, 16,  4,  3,  6,  1,  1], dtype=int64))","(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([38, 19, 13,  8,  5,  1], dtype=int64))",Class with less than 3 instances
fertility,[0 1],[0 1],[0 1],"(array([0, 1], dtype=uint8), array([50,  7], dtype=int64))","(array([0, 1], dtype=uint8), array([16,  2], dtype=int64))","(array([0, 1], dtype=uint8), array([22,  3], dtype=int64))",Class with less than 3 instances
fertility,[0 1],[0 1],[0 1],"(array([0, 1], dtype=uint8), array([54,  7], dtype=int64))","(array([0, 1], dtype=uint8), array([12,  2], dtype=int64))","(array([0, 1], dtype=uint8), array([22,  3], dtype=int64))",Class with less than 3 instances
fertility,[0 1],[0 1],[0 1],"(array([0, 1], dtype=uint8), array([48,  7], dtype=int64))","(array([0, 1], dtype=uint8), array([18,  2], dtype=int64))","(array([0, 1], dtype=uint8), array([22,  3], dtype=int64))",Class with less than 3 instances
fertility,[0 1],[0 1],[0 1],"(array([0, 1], dtype=uint8), array([57,  7], dtype=int64))","(array([0, 1], dtype=uint8), array([9, 2], dtype=int64))","(array([0, 1], dtype=uint8), array([22,  3], dtype=int64))",Class with less than 3 instances
flags,[0 1 2 3 4 5 6 7],[0 1 2 4 5 6 7],[0 1 2 3 4 5 6 7],,,,Mismatch in class labels
flags,[0 1 2 3 4 5 6 7],[0 1 2 4 5 6 7],[0 1 2 3 4 5 6 7],"(array([0, 1, 2, 3, 4, 5, 6, 7], dtype=uint8), array([23, 38, 20,  6,  2, 18, 10,  2], dtype=int64))","(array([0, 1, 2, 4, 5, 6, 7], dtype=uint8), array([7, 6, 7, 1, 3, 2, 1], dtype=int64))","(array([0, 1, 2, 3, 4, 5, 6, 7], dtype=uint8), array([10, 16,  9,  2,  1,  6,  3,  1], dtype=int64))",Class with less than 3 instances
flags,[0 1 2 3 4 5 6 7],[0 1 2 3 4 5 6],[0 1 2 3 4 5 6 7],,,,Mismatch in class labels
flags,[0 1 2 3 4 5 6 7],[0 1 2 3 4 5 6],[0 1 2 3 4 5 6 7],"(array([0, 1, 2, 3, 4, 5, 6, 7], dtype=uint8), array([22, 34, 21,  5,  2, 19, 11,  3], dtype=int64))","(array([0, 1, 2, 3, 4, 5, 6], dtype=uint8), array([ 8, 10,  6,  1,  1,  2,  1], dtype=int64))","(array([0, 1, 2, 3, 4, 5, 6, 7], dtype=uint8), array([10, 16,  9,  2,  1,  6,  3,  1], dtype=int64))",Class with less than 3 instances
flags,[0 1 2 3 4 5 6 7],[0 1 2 3 4 5 6],[0 1 2 3 4 5 6 7],,,,Mismatch in class labels
flags,[0 1 2 3 4 5 6 7],[0 1 2 3 4 5 6],[0 1 2 3 4 5 6 7],"(array([0, 1, 2, 3, 4, 5, 6, 7], dtype=uint8), array([22, 36, 23,  5,  2, 19, 10,  3], dtype=int64))","(array([0, 1, 2, 3, 4, 5, 6], dtype=uint8), array([8, 8, 4, 1, 1, 2, 2], dtype=int64))","(array([0, 1, 2, 3, 4, 5, 6, 7], dtype=uint8), array([10, 16,  9,  2,  1,  6,  3,  1], dtype=int64))",Class with less than 3 instances
flags,[0 1 2 3 4 5 6 7],[0 1 2 4 5 6],[0 1 2 3 4 5 6 7],,,,Mismatch in class labels
flags,[0 1 2 3 4 5 6 7],[0 1 2 4 5 6],[0 1 2 3 4 5 6 7],"(array([0, 1, 2, 3, 4, 5, 6, 7], dtype=uint8), array([22, 37, 19,  6,  2, 18,  8,  3], dtype=int64))","(array([0, 1, 2, 4, 5, 6], dtype=uint8), array([8, 7, 8, 1, 3, 4], dtype=int64))","(array([0, 1, 2, 3, 4, 5, 6, 7], dtype=uint8), array([10, 16,  9,  2,  1,  6,  3,  1], dtype=int64))",Class with less than 3 instances
glass,[0 1 2 3 4 5],[0 1 2 3 4 5],[0 1 2 3 4 5],"(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([39, 45,  9,  9,  6, 16], dtype=int64))","(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([14, 11,  4,  1,  1,  6], dtype=int64))","(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([17, 20,  4,  3,  2,  7], dtype=int64))",Class with less than 3 instances
glass,[0 1 2 3 4 5],[0 1 2 3 4 5],[0 1 2 3 4 5],"(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([43, 46, 10,  9,  6, 17], dtype=int64))","(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([10, 10,  3,  1,  1,  5], dtype=int64))","(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([17, 20,  4,  3,  2,  7], dtype=int64))",Class with less than 3 instances
glass,[0 1 2 3 4 5],[0 1 2 3 4 5],[0 1 2 3 4 5],"(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([46, 50, 10,  8,  5, 16], dtype=int64))","(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([7, 6, 3, 2, 2, 6], dtype=int64))","(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([17, 20,  4,  3,  2,  7], dtype=int64))",Class with less than 3 instances
glass,[0 1 2 3 4 5],[0 1 2 3 4 5],[0 1 2 3 4 5],"(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([45, 45, 11,  9,  5, 18], dtype=int64))","(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([ 8, 11,  2,  1,  2,  4], dtype=int64))","(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([17, 20,  4,  3,  2,  7], dtype=int64))",Class with less than 3 instances
hayes-roth,[0 1 2],[0 1 2],[0 1 2],"(array([0, 1, 2], dtype=uint8), array([41, 37, 20], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([10, 14, 10], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([14, 13,  1], dtype=int64))",Class with less than 3 instances
hayes-roth,[0 1 2],[0 1 2],[0 1 2],"(array([0, 1, 2], dtype=uint8), array([42, 42, 23], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([9, 9, 7], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([14, 13,  1], dtype=int64))",Class with less than 3 instances
hayes-roth,[0 1 2],[0 1 2],[0 1 2],"(array([0, 1, 2], dtype=uint8), array([41, 37, 26], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([10, 14,  4], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([14, 13,  1], dtype=int64))",Class with less than 3 instances
hayes-roth,[0 1 2],[0 1 2],[0 1 2],"(array([0, 1, 2], dtype=uint8), array([41, 44, 19], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([10,  7, 11], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([14, 13,  1], dtype=int64))",Class with less than 3 instances
heart-cleveland,[0 1 2 3 4],[0 1 2 3 4],[0 1 2 3 4],"(array([0, 1, 2, 3, 4], dtype=uint8), array([91, 30, 22, 22,  8], dtype=int64))","(array([0, 1, 2, 3, 4], dtype=uint8), array([30, 12,  5,  5,  2], dtype=int64))","(array([0, 1, 2, 3, 4], dtype=uint8), array([43, 13,  9,  8,  3], dtype=int64))",Class with less than 3 instances
heart-cleveland,[0 1 2 3 4],[0 1 2 3 4],[0 1 2 3 4],"(array([0, 1, 2, 3, 4], dtype=uint8), array([96, 34, 22, 23,  9], dtype=int64))","(array([0, 1, 2, 3, 4], dtype=uint8), array([25,  8,  5,  4,  1], dtype=int64))","(array([0, 1, 2, 3, 4], dtype=uint8), array([43, 13,  9,  8,  3], dtype=int64))",Class with less than 3 instances
heart-cleveland,[0 1 2 3 4],[0 1 2 3 4],[0 1 2 3 4],"(array([0, 1, 2, 3, 4], dtype=uint8), array([94, 31, 17, 20,  8], dtype=int64))","(array([0, 1, 2, 3, 4], dtype=uint8), array([27, 11, 10,  7,  2], dtype=int64))","(array([0, 1, 2, 3, 4], dtype=uint8), array([43, 13,  9,  8,  3], dtype=int64))",Class with less than 3 instances
heart-cleveland,[0 1 2 3 4],[0 1 2 3],[0 1 2 3 4],,,,Mismatch in class labels
heart-switzerland,[0 1 2 3 4],[0 1 2 3],[0 1 2 3 4],,,,Mismatch in class labels
heart-switzerland,[0 1 2 3 4],[0 1 2 3],[0 1 2 3 4],"(array([0, 1, 2, 3, 4], dtype=uint8), array([ 5, 31, 17, 17,  4], dtype=int64))","(array([0, 1, 2, 3], dtype=uint8), array([1, 4, 7, 6], dtype=int64))","(array([0, 1, 2, 3, 4], dtype=uint8), array([ 2, 13,  8,  7,  1], dtype=int64))",Class with less than 3 instances
heart-switzerland,[0 1 2 3 4],[0 1 2 3 4],[0 1 2 3 4],"(array([0, 1, 2, 3, 4], dtype=uint8), array([ 5, 28, 19, 21,  1], dtype=int64))","(array([0, 1, 2, 3, 4], dtype=uint8), array([1, 7, 5, 2, 3], dtype=int64))","(array([0, 1, 2, 3, 4], dtype=uint8), array([ 2, 13,  8,  7,  1], dtype=int64))",Class with less than 3 instances
heart-switzerland,[0 1 2 3 4],[0 1 2 3 4],[0 1 2 3 4],"(array([0, 1, 2, 3, 4], dtype=uint8), array([ 4, 24, 19, 18,  3], dtype=int64))","(array([0, 1, 2, 3, 4], dtype=uint8), array([ 2, 11,  5,  5,  1], dtype=int64))","(array([0, 1, 2, 3, 4], dtype=uint8), array([ 2, 13,  8,  7,  1], dtype=int64))",Class with less than 3 instances
heart-switzerland,[0 1 2 3 4],[1 2 3],[0 1 2 3 4],,,,Mismatch in class labels
heart-switzerland,[0 1 2 3 4],[1 2 3],[0 1 2 3 4],"(array([0, 1, 2, 3, 4], dtype=uint8), array([ 6, 29, 20, 19,  4], dtype=int64))","(array([1, 2, 3], dtype=uint8), array([6, 4, 4], dtype=int64))","(array([0, 1, 2, 3, 4], dtype=uint8), array([ 2, 13,  8,  7,  1], dtype=int64))",Class with less than 3 instances
heart-va,[0 1 2 3 4],[0 1 2 3 4],[0 1 2 3 4],"(array([0, 1, 2, 3, 4], dtype=uint8), array([31, 33, 23, 20,  6], dtype=int64))","(array([0, 1, 2, 3, 4], dtype=uint8), array([ 8,  7,  8, 12,  2], dtype=int64))","(array([0, 1, 2, 3, 4], dtype=uint8), array([12, 16, 10, 10,  2], dtype=int64))",Class with less than 3 instances
heart-va,[0 1 2 3 4],[0 1 2 3 4],[0 1 2 3 4],"(array([0, 1, 2, 3, 4], dtype=uint8), array([31, 29, 26, 27,  7], dtype=int64))","(array([0, 1, 2, 3, 4], dtype=uint8), array([ 8, 11,  5,  5,  1], dtype=int64))","(array([0, 1, 2, 3, 4], dtype=uint8), array([12, 16, 10, 10,  2], dtype=int64))",Class with less than 3 instances
heart-va,[0 1 2 3 4],[0 1 2 3 4],[0 1 2 3 4],"(array([0, 1, 2, 3, 4], dtype=uint8), array([35, 31, 28, 24,  5], dtype=int64))","(array([0, 1, 2, 3, 4], dtype=uint8), array([4, 9, 3, 8, 3], dtype=int64))","(array([0, 1, 2, 3, 4], dtype=uint8), array([12, 16, 10, 10,  2], dtype=int64))",Class with less than 3 instances
heart-va,[0 1 2 3 4],[0 1 2 3 4],[0 1 2 3 4],"(array([0, 1, 2, 3, 4], dtype=uint8), array([32, 31, 25, 25,  7], dtype=int64))","(array([0, 1, 2, 3, 4], dtype=uint8), array([7, 9, 6, 7, 1], dtype=int64))","(array([0, 1, 2, 3, 4], dtype=uint8), array([12, 16, 10, 10,  2], dtype=int64))",Class with less than 3 instances
lenses,[0 1 2],[0 1 2],[0 1 2],"(array([0, 1, 2], dtype=uint8), array([2, 3, 9], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([1, 1, 2], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([1, 1, 4], dtype=int64))",Class with less than 3 instances
lenses,[0 1 2],[2],[0 1 2],,,,Mismatch in class labels
